player,opponent,team,opponent_team,kill,death,tourney_type,match_id,map,game_id,total_round,ot,win_lose,agent,role_agent
Laz,stax,ZETA,DRX,4.0,1.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,lose,Sova,Initiator
Dep,stax,ZETA,DRX,5.0,3.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,lose,Jett,Duelist
crow,stax,ZETA,DRX,1.0,3.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,lose,Kayo,Initiator
SugarZ3ro,stax,ZETA,DRX,1.0,2.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,lose,Omen,Controller
TENNN,stax,ZETA,DRX,4.0,2.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,lose,Killjoy,Sentinel
Laz,MaKo,ZETA,DRX,1.0,2.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,lose,Sova,Initiator
Dep,MaKo,ZETA,DRX,2.0,3.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,lose,Jett,Duelist
crow,MaKo,ZETA,DRX,3.0,1.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,lose,Kayo,Initiator
SugarZ3ro,MaKo,ZETA,DRX,1.0,6.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,lose,Omen,Controller
TENNN,MaKo,ZETA,DRX,2.0,3.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,lose,Killjoy,Sentinel
Laz,Zest,ZETA,DRX,2.0,3.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,lose,Sova,Initiator
Dep,Zest,ZETA,DRX,1.0,2.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,lose,Jett,Duelist
crow,Zest,ZETA,DRX,2.0,4.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,lose,Kayo,Initiator
SugarZ3ro,Zest,ZETA,DRX,1.0,3.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,lose,Omen,Controller
TENNN,Zest,ZETA,DRX,4.0,3.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,lose,Killjoy,Sentinel
Laz,Foxy9,ZETA,DRX,5.0,5.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,lose,Sova,Initiator
SugarZ3ro,Foxy9,ZETA,DRX,2.0,3.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,lose,Omen,Controller
TENNN,Foxy9,ZETA,DRX,2.0,2.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,lose,Killjoy,Sentinel
Laz,Rb,ZETA,DRX,3.0,6.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,lose,Sova,Initiator
Dep,Rb,ZETA,DRX,2.0,1.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,lose,Jett,Duelist
SugarZ3ro,Rb,ZETA,DRX,2.0,4.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,lose,Omen,Controller
stax,Laz,DRX,ZETA,1.0,4.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,win,Kayo,Initiator
MaKo,Laz,DRX,ZETA,2.0,1.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,win,Omen,Controller
Zest,Laz,DRX,ZETA,3.0,2.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,win,Sova,Initiator
Foxy9,Laz,DRX,ZETA,5.0,5.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,win,Jett,Duelist
Rb,Laz,DRX,ZETA,6.0,3.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,win,Killjoy,Sentinel
stax,Dep,DRX,ZETA,3.0,5.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,win,Kayo,Initiator
MaKo,Dep,DRX,ZETA,3.0,2.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,win,Omen,Controller
Zest,Dep,DRX,ZETA,2.0,1.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,win,Sova,Initiator
Rb,Dep,DRX,ZETA,1.0,2.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,win,Killjoy,Sentinel
stax,crow,DRX,ZETA,3.0,1.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,win,Kayo,Initiator
MaKo,crow,DRX,ZETA,1.0,3.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,win,Omen,Controller
Zest,crow,DRX,ZETA,4.0,2.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,win,Sova,Initiator
stax,SugarZ3ro,DRX,ZETA,2.0,1.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,win,Kayo,Initiator
MaKo,SugarZ3ro,DRX,ZETA,6.0,1.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,win,Omen,Controller
Zest,SugarZ3ro,DRX,ZETA,3.0,1.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,win,Sova,Initiator
Foxy9,SugarZ3ro,DRX,ZETA,3.0,2.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,win,Jett,Duelist
Rb,SugarZ3ro,DRX,ZETA,4.0,2.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,win,Killjoy,Sentinel
stax,TENNN,DRX,ZETA,2.0,4.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,win,Kayo,Initiator
MaKo,TENNN,DRX,ZETA,3.0,2.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,win,Omen,Controller
Zest,TENNN,DRX,ZETA,3.0,4.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,win,Sova,Initiator
Foxy9,TENNN,DRX,ZETA,2.0,2.0,League Play: Week 1,184456.0,Ascent,119512.0,18.0,No,win,Jett,Duelist
Laz,stax,ZETA,DRX,3.0,3.0,League Play: Week 1,184456.0,Pearl,119513.0,18.0,No,lose,Skye,Initiator
Dep,stax,ZETA,DRX,2.0,2.0,League Play: Week 1,184456.0,Pearl,119513.0,18.0,No,lose,Jett,Duelist
crow,stax,ZETA,DRX,3.0,1.0,League Play: Week 1,184456.0,Pearl,119513.0,18.0,No,lose,Harbor,Controller
SugarZ3ro,stax,ZETA,DRX,2.0,2.0,League Play: Week 1,184456.0,Pearl,119513.0,18.0,No,lose,Viper,Controller
TENNN,stax,ZETA,DRX,1.0,2.0,League Play: Week 1,184456.0,Pearl,119513.0,18.0,No,lose,Killjoy,Sentinel
Laz,MaKo,ZETA,DRX,2.0,3.0,League Play: Week 1,184456.0,Pearl,119513.0,18.0,No,lose,Skye,Initiator
Dep,MaKo,ZETA,DRX,1.0,5.0,League Play: Week 1,184456.0,Pearl,119513.0,18.0,No,lose,Jett,Duelist
crow,MaKo,ZETA,DRX,3.0,3.0,League Play: Week 1,184456.0,Pearl,119513.0,18.0,No,lose,Harbor,Controller
SugarZ3ro,MaKo,ZETA,DRX,2.0,3.0,League Play: Week 1,184456.0,Pearl,119513.0,18.0,No,lose,Viper,Controller
crow,Zest,ZETA,DRX,1.0,3.0,League Play: Week 1,184456.0,Pearl,119513.0,18.0,No,lose,Harbor,Controller
SugarZ3ro,Zest,ZETA,DRX,3.0,3.0,League Play: Week 1,184456.0,Pearl,119513.0,18.0,No,lose,Viper,Controller
TENNN,Zest,ZETA,DRX,3.0,2.0,League Play: Week 1,184456.0,Pearl,119513.0,18.0,No,lose,Killjoy,Sentinel
Laz,Foxy9,ZETA,DRX,3.0,3.0,League Play: Week 1,184456.0,Pearl,119513.0,18.0,No,lose,Skye,Initiator
Dep,Foxy9,ZETA,DRX,4.0,1.0,League Play: Week 1,184456.0,Pearl,119513.0,18.0,No,lose,Jett,Duelist
crow,Foxy9,ZETA,DRX,1.0,3.0,League Play: Week 1,184456.0,Pearl,119513.0,18.0,No,lose,Harbor,Controller
SugarZ3ro,Foxy9,ZETA,DRX,3.0,4.0,League Play: Week 1,184456.0,Pearl,119513.0,18.0,No,lose,Viper,Controller
TENNN,Foxy9,ZETA,DRX,2.0,2.0,League Play: Week 1,184456.0,Pearl,119513.0,18.0,No,lose,Killjoy,Sentinel
Laz,Rb,ZETA,DRX,1.0,5.0,League Play: Week 1,184456.0,Pearl,119513.0,18.0,No,lose,Skye,Initiator
Dep,Rb,ZETA,DRX,3.0,4.0,League Play: Week 1,184456.0,Pearl,119513.0,18.0,No,lose,Jett,Duelist
crow,Rb,ZETA,DRX,1.0,4.0,League Play: Week 1,184456.0,Pearl,119513.0,18.0,No,lose,Harbor,Controller
SugarZ3ro,Rb,ZETA,DRX,4.0,1.0,League Play: Week 1,184456.0,Pearl,119513.0,18.0,No,lose,Viper,Controller
TENNN,Rb,ZETA,DRX,1.0,2.0,League Play: Week 1,184456.0,Pearl,119513.0,18.0,No,lose,Killjoy,Sentinel
stax,Laz,DRX,ZETA,3.0,3.0,League Play: Week 1,184456.0,Pearl,119513.0,18.0,No,win,Kayo,Initiator
