player,team,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,agent,map,tourney_type,game_id,match_id,role_agent,total_round,ot,win_lose,clutches
Dep,ZETA,1,0,0,0,0,0,0,0,0,Jett,Ascent,League Play: Week 1,119512,184456,Duelist,18,No,lose,0
Laz,ZETA,2,1,1,0,1,0,0,0,0,Sova,Ascent,League Play: Week 1,119512,184456,Initiator,18,No,lose,1
crow,ZETA,2,0,0,0,0,0,0,0,0,Kayo,Ascent,League Play: Week 1,119512,184456,Initiator,18,No,lose,0
TENNN,ZETA,1,3,0,0,0,0,0,0,0,Killjoy,Ascent,League Play: Week 1,119512,184456,Sentinel,18,No,lose,0
SugarZ3ro,ZETA,1,0,0,0,0,0,0,0,0,Omen,Ascent,League Play: Week 1,119512,184456,Controller,18,No,lose,0
stax,DRX,4,0,1,0,0,0,0,0,0,Kayo,Ascent,League Play: Week 1,119512,184456,Initiator,18,No,win,0
Rb,DRX,0,2,0,0,0,0,0,0,0,Killjoy,Ascent,League Play: Week 1,119512,184456,Sentinel,18,No,win,0
Zest,DRX,2,1,0,0,1,0,0,0,0,Sova,Ascent,League Play: Week 1,119512,184456,Initiator,18,No,win,1
MaKo,DRX,5,1,0,0,2,0,0,0,0,Omen,Ascent,League Play: Week 1,119512,184456,Controller,18,No,win,2
Foxy9,DRX,2,1,0,1,0,0,0,0,0,Jett,Ascent,League Play: Week 1,119512,184456,Duelist,18,No,win,0
Dep,ZETA,3,0,0,0,0,0,0,0,0,Jett,Pearl,League Play: Week 1,119513,184456,Duelist,18,No,lose,0
Laz,ZETA,0,0,0,0,0,0,0,0,0,Skye,Pearl,League Play: Week 1,119513,184456,Initiator,18,No,lose,0
crow,ZETA,2,0,0,0,0,0,0,0,0,Harbor,Pearl,League Play: Week 1,119513,184456,Controller,18,No,lose,0
TENNN,ZETA,1,0,0,0,0,0,0,0,0,Killjoy,Pearl,League Play: Week 1,119513,184456,Sentinel,18,No,lose,0
SugarZ3ro,ZETA,2,0,2,0,0,0,0,0,0,Viper,Pearl,League Play: Week 1,119513,184456,Controller,18,No,lose,0
stax,DRX,2,3,0,0,1,1,0,0,0,Kayo,Pearl,League Play: Week 1,119513,184456,Initiator,18,No,win,2
Rb,DRX,1,1,0,0,0,0,0,0,0,Harbor,Pearl,League Play: Week 1,119513,184456,Controller,18,No,win,0
Zest,DRX,5,0,0,0,1,0,0,0,0,Fade,Pearl,League Play: Week 1,119513,184456,Initiator,18,No,win,1
MaKo,DRX,3,0,0,0,0,0,0,0,0,Viper,Pearl,League Play: Week 1,119513,184456,Controller,18,No,win,0
Foxy9,DRX,1,2,0,0,0,0,0,0,0,Jett,Pearl,League Play: Week 1,119513,184456,Duelist,18,No,win,0
xeta,T1,3,1,0,0,0,0,0,0,0,Harbor,Pearl,League Play: Week 1,119515,184457,Controller,21,No,win,0
iNTRO,T1,3,2,0,0,0,0,0,0,0,Viper,Pearl,League Play: Week 1,119515,184457,Controller,21,No,win,0
Munchkin,T1,2,2,1,0,0,0,0,0,0,Killjoy,Pearl,League Play: Week 1,119515,184457,Sentinel,21,No,win,0
Sayaplayer,T1,3,1,0,0,0,0,0,0,0,Jett,Pearl,League Play: Week 1,119515,184457,Duelist,21,No,win,0
Carpe,T1,2,2,0,0,0,0,0,0,0,Skye,Pearl,League Play: Week 1,119515,184457,Initiator,21,No,win,0
Bazzi,GES,3,2,0,0,0,0,0,0,0,Fade,Pearl,League Play: Week 1,119515,184457,Initiator,21,No,lose,0
AYRIN,GES,1,1,0,0,0,1,0,0,0,Killjoy,Pearl,League Play: Week 1,119515,184457,Sentinel,21,No,lose,1
WRONSKI,GES,2,0,0,0,0,0,0,0,0,Kayo,Pearl,League Play: Week 1,119515,184457,Initiator,21,No,lose,0
Monyet,GES,1,0,0,0,0,0,0,0,0,Astra,Pearl,League Play: Week 1,119515,184457,Controller,21,No,lose,0
t3xture,GES,3,1,0,0,0,0,0,0,0,Jett,Pearl,League Play: Week 1,119515,184457,Duelist,21,No,lose,0
xeta,T1,2,0,1,0,0,0,0,0,0,Sova,Haven,League Play: Week 1,119516,184457,Initiator,17,No,lose,0
Munchkin,T1,0,1,0,0,0,0,0,0,0,Killjoy,Haven,League Play: Week 1,119516,184457,Sentinel,17,No,lose,0
Sayaplayer,T1,3,0,0,0,0,0,0,0,0,Jett,Haven,League Play: Week 1,119516,184457,Duelist,17,No,lose,0
ban,T1,2,0,0,0,0,0,0,0,0,Omen,Haven,League Play: Week 1,119516,184457,Controller,17,No,lose,0
Carpe,T1,1,0,0,0,0,0,0,0,0,Breach,Haven,League Play: Week 1,119516,184457,Initiator,17,No,lose,0
Bazzi,GES,5,0,0,0,1,1,0,0,0,Skye,Haven,League Play: Week 1,119516,184457,Initiator,17,No,win,2
AYRIN,GES,5,1,0,0,0,1,0,0,0,Killjoy,Haven,League Play: Week 1,119516,184457,Sentinel,17,No,win,1
WRONSKI,GES,2,0,0,0,0,0,0,0,0,Kayo,Haven,League Play: Week 1,119516,184457,Initiator,17,No,win,0
Monyet,GES,1,0,0,0,0,0,0,0,0,Omen,Haven,League Play: Week 1,119516,184457,Controller,17,No,win,0
t3xture,GES,3,2,0,1,0,0,0,0,0,Jett,Haven,League Play: Week 1,119516,184457,Duelist,17,No,win,0
xeta,T1,3,1,2,0,1,0,0,0,0,Harbor,Lotus,League Play: Week 1,119517,184457,Controller,20,No,win,1
Munchkin,T1,4,0,1,0,0,0,0,0,0,Killjoy,Lotus,League Play: Week 1,119517,184457,Sentinel,20,No,win,0
Sayaplayer,T1,4,1,0,0,0,0,0,0,0,Jett,Lotus,League Play: Week 1,119517,184457,Duelist,20,No,win,0
ban,T1,2,0,0,0,0,0,0,0,0,Viper,Lotus,League Play: Week 1,119517,184457,Controller,20,No,win,0
Carpe,T1,2,0,0,0,0,0,0,0,0,Skye,Lotus,League Play: Week 1,119517,184457,Initiator,20,No,win,0
Bazzi,GES,1,1,0,0,0,0,0,0,0,Breach,Lotus,League Play: Week 1,119517,184457,Initiator,20,No,lose,0
AYRIN,GES,0,0,0,0,0,0,0,0,0,Killjoy,Lotus,League Play: Week 1,119517,184457,Sentinel,20,No,lose,0
WRONSKI,GES,2,1,0,0,0,0,0,0,0,Jett,Lotus,League Play: Week 1,119517,184457,Duelist,20,No,lose,0
Monyet,GES,1,2,0,0,1,0,1,0,0,Omen,Lotus,League Play: Week 1,119517,184457,Controller,20,No,lose,3
t3xture,GES,1,0,0,0,0,0,0,0,0,Raze,Lotus,League Play: Week 1,119517,184457,Duelist,20,No,lose,0
Jinggg,PRX,5,1,1,0,1,0,1,0,0,Phoenix,Pearl,League Play: Week 1,119518,184458,Duelist,18,No,win,3
mindfreak,PRX,1,0,0,0,0,0,0,0,0,Astra,Pearl,League Play: Week 1,119518,184458,Controller,18,No,win,0
f0rsakeN,PRX,4,0,0,0,2,0,0,0,0,Jett,Pearl,League Play: Week 1,119518,184458,Duelist,18,No,win,2
Benkai,PRX,4,1,0,0,1,1,0,0,0,Killjoy,Pearl,League Play: Week 1,119518,184458,Sentinel,18,No,win,2
d4v41,PRX,1,2,0,0,0,0,0,0,0,Skye,Pearl,League Play: Week 1,119518,184458,Initiator,18,No,win,0
takej,DFM,3,1,0,0,0,0,0,0,0,Viper,Pearl,League Play: Week 1,119518,184458,Controller,18,No,lose,0
Reita,DFM,2,0,0,0,0,0,0,0,0,Killjoy,Pearl,League Play: Week 1,119518,184458,Sentinel,18,No,lose,0
Suggest,DFM,3,0,1,0,0,0,0,0,0,Jett,Pearl,League Play: Week 1,119518,184458,Duelist,18,No,lose,0
Anthem,DFM,0,0,0,0,0,0,0,0,0,Skye,Pearl,League Play: Week 1,119518,184458,Initiator,18,No,lose,0
xnfri,DFM,1,0,0,0,0,0,0,0,0,Harbor,Pearl,League Play: Week 1,119518,184458,Controller,18,No,lose,0
Jinggg,PRX,2,0,1,0,0,0,0,0,0,Raze,Lotus,League Play: Week 1,119519,184458,Duelist,24,Yes,win,0
mindfreak,PRX,1,0,0,0,2,0,0,0,0,Astra,Lotus,League Play: Week 1,119519,184458,Controller,24,Yes,win,2
f0rsakeN,PRX,3,0,0,0,1,0,0,0,0,Yoru,Lotus,League Play: Week 1,119519,184458,Duelist,24,Yes,win,1
Benkai,PRX,2,2,0,0,0,1,0,0,0,Killjoy,Lotus,League Play: Week 1,119519,184458,Sentinel,24,Yes,win,1
d4v41,PRX,5,3,0,0,1,1,0,0,0,Skye,Lotus,League Play: Week 1,119519,184458,Initiator,24,Yes,win,2
takej,DFM,1,1,0,0,0,0,0,0,0,Viper,Lotus,League Play: Week 1,119519,184458,Controller,24,Yes,lose,0
Reita,DFM,4,2,0,0,0,0,0,0,0,Cypher,Lotus,League Play: Week 1,119519,184458,Sentinel,24,Yes,lose,0
Suggest,DFM,7,2,0,0,0,0,0,0,0,Raze,Lotus,League Play: Week 1,119519,184458,Duelist,24,Yes,lose,0
Anthem,DFM,3,1,0,1,0,1,0,0,0,Skye,Lotus,League Play: Week 1,119519,184458,Initiator,24,Yes,lose,1
xnfri,DFM,5,0,0,0,0,0,0,0,0,Omen,Lotus,League Play: Week 1,119519,184458,Controller,24,Yes,lose,0
BORKUM,TS,1,1,0,0,0,2,0,0,0,Omen,Ascent,League Play: Week 1,119521,184459,Controller,18,No,win,2
JessieVash,TS,3,0,0,0,0,0,0,0,0,Sova,Ascent,League Play: Week 1,119521,184459,Initiator,18,No,win,0
DubsteP,TS,4,0,0,0,0,0,0,0,0,Jett,Ascent,League Play: Week 1,119521,184459,Duelist,18,No,win,0
Jremy,TS,4,1,1,0,1,1,0,0,0,Killjoy,Ascent,League Play: Week 1,119521,184459,Sentinel,18,No,win,2
invy,TS,4,1,0,0,0,0,0,0,0,Kayo,Ascent,League Play: Week 1,119521,184459,Initiator,18,No,win,0
Patt,TLN,3,0,0,0,0,0,0,0,0,Sage,Ascent,League Play: Week 1,119521,184459,Sentinel,18,No,lose,0
Crws,TLN,1,1,0,0,0,0,0,0,0,Astra,Ascent,League Play: Week 1,119521,184459,Controller,18,No,lose,0
foxz,TLN,1,0,0,0,0,0,0,0,0,Fade,Ascent,League Play: Week 1,119521,184459,Initiator,18,No,lose,0
JitBoyS,TLN,2,1,0,0,1,0,0,0,0,Kayo,Ascent,League Play: Week 1,119521,184459,Initiator,18,No,lose,1
garnetS,TLN,2,1,0,0,0,0,0,0,0,Jett,Ascent,League Play: Week 1,119521,184459,Duelist,18,No,lose,0
BORKUM,TS,0,1,0,0,1,0,0,0,0,Viper,Icebox,League Play: Week 1,119522,184459,Controller,21,No,lose,1
JessieVash,TS,1,1,0,0,0,0,0,0,0,Sova,Icebox,League Play: Week 1,119522,184459,Initiator,21,No,lose,0
DubsteP,TS,2,1,0,0,0,0,0,0,0,Killjoy,Icebox,League Play: Week 1,119522,184459,Sentinel,21,No,lose,0
Jremy,TS,3,2,0,0,1,0,0,0,0,Sage,Icebox,League Play: Week 1,119522,184459,Sentinel,21,No,lose,1
invy,TS,6,2,0,1,0,1,0,0,0,Kayo,Icebox,League Play: Week 1,119522,184459,Initiator,21,No,lose,1
Patt,TLN,2,3,0,0,0,0,0,0,0,Harbor,Icebox,League Play: Week 1,119522,184459,Controller,21,No,win,0
Sushiboys,TLN,5,0,0,0,2,0,0,0,0,Killjoy,Icebox,League Play: Week 1,119522,184459,Sentinel,21,No,win,2
