team,pb_phase,map,tourney_type,match_id,game_id
DRX,ban,Lotus,League Play: Week 1,184456,0
ZETA,ban,Fracture,League Play: Week 1,184456,0
DRX,pick,Ascent,League Play: Week 1,184456,119512
ZETA,pick,Pearl,League Play: Week 1,184456,119513
DRX,ban,Split,League Play: Week 1,184456,0
ZETA,ban,Icebox,League Play: Week 1,184456,0
GES,ban,Fracture,League Play: Week 1,184457,0
T1,ban,Split,League Play: Week 1,184457,0
GES,pick,Pearl,League Play: Week 1,184457,119515
T1,pick,Haven,League Play: Week 1,184457,119516
GES,ban,Ascent,League Play: Week 1,184457,0
T1,ban,Icebox,League Play: Week 1,184457,0
PRX,ban,Icebox,League Play: Week 1,184458,0
DFM,ban,Ascent,League Play: Week 1,184458,0
PRX,pick,Pearl,League Play: Week 1,184458,119518
DFM,pick,Lotus,League Play: Week 1,184458,119519
PRX,ban,Haven,League Play: Week 1,184458,0
DFM,ban,Split,League Play: Week 1,184458,0
TLN,ban,Haven,League Play: Week 1,184459,0
TS,ban,Pearl,League Play: Week 1,184459,0
TLN,pick,Ascent,League Play: Week 1,184459,119521
TS,pick,Icebox,League Play: Week 1,184459,119522
TLN,ban,Split,League Play: Week 1,184459,0
TS,ban,Lotus,League Play: Week 1,184459,0
GEN,ban,Icebox,League Play: Week 1,184460,0
RRQ,ban,Split,League Play: Week 1,184460,0
GEN,pick,Fracture,League Play: Week 1,184460,119524
RRQ,pick,Lotus,League Play: Week 1,184460,119525
GEN,ban,Ascent,League Play: Week 1,184460,0
RRQ,ban,Pearl,League Play: Week 1,184460,0
ZETA,ban,Fracture,League Play: Week 2,184461,0
RRQ,ban,Pearl,League Play: Week 2,184461,0
ZETA,pick,Haven,League Play: Week 2,184461,119527
RRQ,pick,Ascent,League Play: Week 2,184461,119528
ZETA,ban,Icebox,League Play: Week 2,184461,0
RRQ,ban,Split,League Play: Week 2,184461,0
T1,ban,Split,League Play: Week 2,184462,0
TLN,ban,Pearl,League Play: Week 2,184462,0
T1,pick,Ascent,League Play: Week 2,184462,119530
TLN,pick,Haven,League Play: Week 2,184462,119531
T1,ban,Icebox,League Play: Week 2,184462,0
TLN,ban,Fracture,League Play: Week 2,184462,0
TS,ban,Pearl,League Play: Week 2,184463,0
PRX,ban,Icebox,League Play: Week 2,184463,0
TS,pick,Haven,League Play: Week 2,184463,119533
PRX,pick,Fracture,League Play: Week 2,184463,119534
TS,ban,Ascent,League Play: Week 2,184463,0
PRX,ban,Lotus,League Play: Week 2,184463,0
DFM,ban,Icebox,League Play: Week 2,184465,0
GEN,ban,Split,League Play: Week 2,184465,0
DFM,pick,Lotus,League Play: Week 2,184465,119536
GEN,pick,Fracture,League Play: Week 2,184465,119537
DFM,ban,Ascent,League Play: Week 2,184465,0
GEN,ban,Haven,League Play: Week 2,184465,0
DRX,ban,Lotus,League Play: Week 2,184466,0
GES,ban,Ascent,League Play: Week 2,184466,0
DRX,pick,Haven,League Play: Week 2,184466,119539
GES,pick,Split,League Play: Week 2,184466,119540
DRX,ban,Fracture,League Play: Week 2,184466,0
GES,ban,Icebox,League Play: Week 2,184466,0
RRQ,ban,Lotus,League Play: Week 3,184467,0
DFM,ban,Icebox,League Play: Week 3,184467,0
RRQ,pick,Haven,League Play: Week 3,184467,119542
DFM,pick,Pearl,League Play: Week 3,184467,119543
RRQ,ban,Fracture,League Play: Week 3,184467,0
DFM,ban,Split,League Play: Week 3,184467,0
T1,ban,Icebox,League Play: Week 3,184468,0
PRX,ban,Haven,League Play: Week 3,184468,0
T1,pick,Pearl,League Play: Week 3,184468,119545
PRX,pick,Fracture,League Play: Week 3,184468,119546
T1,ban,Ascent,League Play: Week 3,184468,0
PRX,ban,Split,League Play: Week 3,184468,0
GES,ban,Fracture,League Play: Week 3,184469,0
ZETA,ban,Split,League Play: Week 3,184469,0
GES,pick,Pearl,League Play: Week 3,184469,119548
ZETA,pick,Ascent,League Play: Week 3,184469,119549
GES,ban,Icebox,League Play: Week 3,184469,0
ZETA,ban,Lotus,League Play: Week 3,184469,0
TLN,ban,Haven,League Play: Week 3,184470,0
DRX,ban,Lotus,League Play: Week 3,184470,0
TLN,pick,Split,League Play: Week 3,184470,119551
DRX,pick,Pearl,League Play: Week 3,184470,119552
TLN,ban,Fracture,League Play: Week 3,184470,0
DRX,ban,Icebox,League Play: Week 3,184470,0
GEN,ban,Icebox,League Play: Week 3,184471,0
TS,ban,Pearl,League Play: Week 3,184471,0
GEN,pick,Haven,League Play: Week 3,184471,119554
TS,pick,Fracture,League Play: Week 3,184471,119555
GEN,ban,Ascent,League Play: Week 3,184471,0
TS,ban,Split,League Play: Week 3,184471,0
DRX,ban,Lotus,League Play: Week 4,184472,0
PRX,ban,Haven,League Play: Week 4,184472,0
DRX,pick,Ascent,League Play: Week 4,184472,119557
PRX,pick,Split,League Play: Week 4,184472,119558
DRX,ban,Pearl,League Play: Week 4,184472,0
PRX,ban,Icebox,League Play: Week 4,184472,0
TS,ban,Pearl,League Play: Week 4,184473,0
RRQ,ban,Lotus,League Play: Week 4,184473,0
TS,pick,Icebox,League Play: Week 4,184473,119560
RRQ,pick,Split,League Play: Week 4,184473,119561
TS,ban,Ascent,League Play: Week 4,184473,0
RRQ,ban,Fracture,League Play: Week 4,184473,0
T1,ban,Pearl,League Play: Week 4,184474,0
GEN,ban,Icebox,League Play: Week 4,184474,0
T1,pick,Ascent,League Play: Week 4,184474,119563
GEN,pick,Haven,League Play: Week 4,184474,119564
T1,ban,Split,League Play: Week 4,184474,0
GEN,ban,Fracture,League Play: Week 4,184474,0
ZETA,ban,Lotus,League Play: Week 4,184475,0
DFM,ban,Split,League Play: Week 4,184475,0
ZETA,pick,Ascent,League Play: Week 4,184475,119566
DFM,pick,Haven,League Play: Week 4,184475,119567
ZETA,ban,Fracture,League Play: Week 4,184475,0
DFM,ban,Icebox,League Play: Week 4,184475,0
GES,ban,Fracture,League Play: Week 4,184476,0
TLN,ban,Pearl,League Play: Week 4,184476,0
GES,pick,Split,League Play: Week 4,184476,119569
TLN,pick,Icebox,League Play: Week 4,184476,119570
GES,ban,Ascent,League Play: Week 4,184476,0
TLN,ban,Lotus,League Play: Week 4,184476,0
PRX,ban,Haven,League Play: Week 5,184477,0
GES,ban,Fracture,League Play: Week 5,184477,0
PRX,pick,Icebox,League Play: Week 5,184477,119572
GES,pick,Split,League Play: Week 5,184477,119573
PRX,ban,Ascent,League Play: Week 5,184477,0
GES,ban,Lotus,League Play: Week 5,184477,0
GEN,ban,Icebox,League Play: Week 5,184478,0
DRX,ban,Lotus,League Play: Week 5,184478,0
GEN,pick,Haven,League Play: Week 5,184478,119575
DRX,pick,Fracture,League Play: Week 5,184478,119576
GEN,ban,Ascent,League Play: Week 5,184478,0
DRX,ban,Split,League Play: Week 5,184478,0
RRQ,ban,Lotus,League Play: Week 5,184479,0
T1,ban,Split,League Play: Week 5,184479,0
RRQ,pick,Haven,League Play: Week 5,184479,119578
T1,pick,Fracture,League Play: Week 5,184479,119579
RRQ,ban,Icebox,League Play: Week 5,184479,0
T1,ban,Ascent,League Play: Week 5,184479,0
