team,full_team,region,w,l,map,rnd,rnd_diff,img_url,team_id
DRX,DRX,South Korea,8,1,16-4,249/170,79,https://owcdn.net/img/63b17abd77fc0.png,8185
PRX,Paper Rex,Singapore,7,2,15-6,249/186,63,https://owcdn.net/img/62bbeba74d5cb.png,624
T1,T1,South Korea,6,3,9-12,217/204,13,https://owcdn.net/img/62fe0b8f6b084.png,14
ZETA,ZETA DIVISION,Japan,5,4,12-11,239/248,-9,https://owcdn.net/img/62a411783d94d.png,5448
TS,Team Secret,Philippines,5,4,10-11,228/226,2,https://owcdn.net/img/629f13085ead6.png,6199
GEN,Gen.G,South Korea,4,5,11-10,197/217,-20,https://owcdn.net/img/62a1d44914aa9.png,17
RRQ,Rex Regum Qeon,Indonesia,4,5,11-10,208/221,-13,https://owcdn.net/img/629f17f51e7a3.png,878
GES,Global Esports,India,3,6,12-9,231/227,4,https://owcdn.net/img/629f316ddd4dd.png,918
TLN,Talon Esports,Thailand,3,6,12-9,197/230,-33,https://owcdn.net/img/6226f3d764e03.png,8304
DFM,DetonatioN FocusMe,Japan,0,9,18-9,161/247,-86,https://owcdn.net/img/63972e548cdc9.png,278
